index	prediction
0	2.591
1	2.002
2	2.391
3	2.190
4	2.072
5	2.030
6	2.183
7	2.043
8	2.016
9	2.281
10	2.241
11	2.233
12	1.816
13	2.149
14	1.867
15	2.153
16	2.262
17	2.044
18	1.929
19	2.118
20	2.436
21	2.104
22	2.100
23	2.905
24	2.101
25	2.156
26	2.132
27	2.086
28	1.995
29	2.065
30	2.029
31	2.177
32	2.786
33	2.146
34	2.995
35	1.876
36	2.173
37	1.910
38	2.065
39	2.074
40	2.076
41	2.101
42	2.343
43	2.189
44	2.177
45	2.126
46	2.233
47	1.962
48	2.123
49	2.156
50	2.158
51	1.649
52	2.849
53	2.226
54	1.976
55	4.133
56	4.147
57	4.179
58	4.103
59	4.163
60	4.182
61	4.147
62	4.177
63	4.145
64	4.180
65	4.185
66	4.188
67	4.168
68	4.183
69	3.379
70	3.895
71	4.170
72	3.799
73	4.096
74	4.147
75	4.173
76	4.179
77	4.142
78	4.159
79	4.157
80	4.174
81	4.197
82	4.162
83	4.182
84	4.145
85	4.165
86	4.144
87	4.218
88	4.173
89	4.188
90	4.168
91	4.141
92	4.178
93	4.157
94	4.182
95	4.186
96	4.073
97	4.150
98	4.176
99	4.165
100	4.191
101	4.168
102	4.192
103	4.135
104	3.837
105	4.163
106	4.144
107	4.167
108	4.153
109	4.176
110	4.111
111	4.147
112	4.178
113	4.143
114	4.171
115	4.171
116	3.723
117	4.155
118	3.892
119	4.159
120	4.164
121	4.154
122	4.162
123	4.148
124	4.171
125	4.155
126	3.723
127	4.226
128	4.168
129	3.597
130	4.177
131	4.177
132	4.156
133	4.123
134	3.839
135	4.180
136	4.175
137	4.039
138	4.204
139	4.109
140	4.180
141	4.196
142	4.162
143	4.143
144	4.137
145	4.177
146	4.169
147	4.183
148	4.174
149	4.159
150	4.156
151	3.675
152	4.171
153	4.173
154	4.134
155	4.191
156	4.160
157	4.037
158	4.116
159	4.185
160	4.146
161	4.187
162	4.121
163	3.583
164	4.182
165	4.168
166	4.149
167	4.145
168	3.913
169	4.160
170	4.009
171	4.173
172	4.163
173	4.192
174	4.211
175	4.138
176	4.177
177	4.174
178	4.174
179	4.173
180	4.202
181	4.154
182	4.208
183	4.145
184	4.146
185	4.156
186	4.164
187	4.179
188	4.190
189	4.164
190	4.187
191	4.167
192	4.145
193	4.163
194	4.118
195	4.157
196	4.037
197	4.182
198	4.160
199	4.143
200	4.148
201	4.174
202	4.183
203	4.162
204	4.196
205	4.192
206	4.177
207	4.167
208	4.107
209	4.183
210	4.202
211	4.166
212	4.154
213	4.072
214	4.172
215	4.138
216	4.154
217	4.182
218	2.709
219	4.208
220	4.093
221	4.204
222	4.153
223	4.140
224	4.165
225	4.180
226	4.160
227	4.171
228	4.201
229	4.198
230	4.187
231	4.153
232	4.175
233	4.197
234	4.175
235	4.146
236	4.092
237	4.181
238	4.182
239	4.162
240	4.145
241	4.041
242	4.145
243	2.508
244	1.527
245	2.667
246	2.598
247	2.432
248	2.388
249	2.347
250	2.175
251	2.419
252	2.385
253	2.460
254	2.763
255	2.424
256	2.657
257	2.455
258	2.798
259	2.303
260	2.451
261	2.603
262	2.708
263	2.537
264	2.728
265	3.299
266	2.360
267	2.437
268	2.475
269	2.152
270	2.548
271	2.594
272	2.425
273	3.996
274	2.569
275	2.536
276	2.623
277	2.652
278	2.266
279	2.508
280	2.302
281	2.428
282	2.393
283	3.144
284	2.389
285	2.693
286	1.959
287	1.317
288	1.366
289	1.244
290	1.446
291	1.584
292	1.447
293	1.312
294	1.588
295	1.298
296	1.423
297	1.386
298	1.242
299	1.798
300	1.319
301	1.398
302	1.700
303	1.421
304	1.550
305	1.741
306	1.627
307	2.210
308	1.783
309	1.605
310	1.790
311	2.547
312	1.926
313	1.718
314	1.582
315	2.250
316	1.433
317	1.479
318	1.739
319	1.606
